title,vote_average,vote_count
Jeepers Creepers 2,5.5,299
Good Luck Chuck,5.5,444
Cradle 2 the Grave,5.8,236
The Hours,7.0,451
She's the Man,6.4,671
Mr. Bean's Holiday,6.1,663
Anacondas: The Hunt for the Blood Orchid,4.9,199
Blood Ties,6.0,171
August Rush,7.1,797
Elizabeth,7.1,334
Bride of Chucky,5.5,350
Tora! Tora! Tora!,6.9,147
Spice World,4.7,123
The Sitter,5.4,325
Dance Flick,4.7,71
The Shawshank Redemption,8.5,8205
Crocodile Dundee in Los Angeles,4.7,146
Kingpin,6.7,244
The Gambler,5.7,543
August: Osage County,6.9,483
Ice Princess,5.9,185
A Lot Like Love,6.5,318
Eddie the Eagle,7.2,661
He Got Game,6.7,134
Don Juan DeMarco,6.2,183
Dear John,6.6,1262
The Losers,6.2,515
Don't Be Afraid of the Dark,5.4,341
War,6.0,414
Punch-Drunk Love,6.9,530
EuroTrip,6.5,656
Half Past Dead,4.6,82
Unaccompanied Minors,5.4,66
"Bright Lights, Big City",4.7,28
The Adventures of Pinocchio,5.0,54
The Greatest Game Ever Played,6.9,110
The Box,5.4,597
The Ruins,5.6,265
The Next Best Thing,4.3,29
My Soul to Take,5.2,147
The Girl Next Door,6.3,824
Maximum Risk,5.2,101
Stealing Harvard,4.4,46
Legend,6.7,973
Hot Rod,6.3,313
Shark Night,4.9,132
Angela's Ashes,7.0,59
Draft Day,6.5,304
Lifeforce,6.2,135
The Conspirator,6.2,137
Lords of Dogtown,7.0,210
The 33,6.0,378
Big Trouble in Little China,7.1,705
Fly Me to the Moon,5.6,194
Warrior,7.7,1272
Michael Collins,6.7,97
Gettysburg,6.6,90
Stop-Loss,6.1,82
Abandon,4.6,45
Brokedown Palace,6.2,111
The Possession,5.8,498
Mrs. Winterbourne,5.3,25
Straw Dogs,5.5,144
The Hoax,6.4,60
Stone Cold,5.7,34
The Road,6.8,1087
Sheena,5.0,22
Underclassman,5.5,28
Say It Isn't So,4.8,47
The World's Fastest Indian,7.3,166
Tank Girl,5.5,138
King's Ransom,5.1,14
Blindness,6.4,387
BloodRayne,3.5,118
Carnage,7.0,738
Where the Truth Lies,5.9,66
Cirque du Soleil: Worlds Away,6.1,58
Without Limits,6.2,19
Me and Orson Welles,6.6,49
The Best Offer,7.7,704
The Bad Lieutenant: Port of Call - New Orleans,6.0,326
A Turtle's Tale: Sammy's Adventures,5.6,151
Little White Lies,7.1,380
Love Ranch,6.0,21
The True Story of Puss 'n Boots,3.8,7
Space Dogs,6.3,10
The Counselor,5.0,712
Ironclad,6.2,227
Waterloo,7.0,31
Kung Fu Jungle,6.5,114
Red Sky,4.1,26
Dangerous Liaisons,7.0,257
On the Road,5.5,301
Star Trek IV: The Voyage Home,6.9,477
Rocky Balboa,6.5,835
Scream 2,6.1,840
Jane Got a Gun,5.4,285
Think Like a Man Too,6.4,225
The Whole Nine Yards,6.2,531
Footloose,6.4,505
Old School,6.6,541
The Fisher King,7.2,341
I Still Know What You Did Last Summer,5.1,374
Return to Me,6.1,67
Zack and Miri Make a Porno,6.1,721
Nurse Betty,5.9,111
The Men Who Stare at Goats,5.9,742
Double Take,5.5,24
"Girl, Interrupted",7.6,721
Win a Date with Tad Hamilton!,5.5,160
Muppets from Space,5.8,92
The Wiz,5.9,58
Ready to Rumble,4.7,49
Play It to the Bone,5.7,53
I Don't Know How She Does It,5.0,141
Piranha 3D,5.3,581
Beyond the Sea,6.5,55
Meet the Deedles,4.1,19
The Thief and the Cobbler,6.8,26
The Bridge of San Luis Rey,5.4,15
Faster,6.1,568
Howl's Moving Castle,8.2,1991
Zombieland,7.2,3550
The Waterboy,5.9,512
The Empire Strikes Back,8.2,5879
Bad Boys,6.5,1699
The Naked Gun 2½: The Smell of Fear,6.6,546
Final Destination,6.4,1378
The Ides of March,6.5,910
Pitch Black,6.7,1789
Someone Like You...,6.0,118
Her,7.9,4097
Joy Ride,6.3,325
The Adventurer: The Curse of the Midas Box,5.1,73
Anywhere But Here,5.9,66
The Crew,6.4,11
Haywire,5.6,505
Jaws: The Revenge,3.5,224
Marvin's Room,6.6,124
The Longshots,6.5,11
The End of the Affair,6.6,55
Harley Davidson and the Marlboro Man,6.1,82
In the Valley of Elah,6.6,261
Coco Before Chanel,6.6,246
Forsaken,5.8,101
Cheri,5.9,56
Vanity Fair,5.5,73
Bodyguards and Assassins,6.5,57
1408,6.5,1343
Spaceballs,6.7,902
The Water Diviner,6.8,431
Ghost,6.9,1339
There's Something About Mary,6.5,1590
The Santa Clause,6.3,489
The Rookie,6.5,110
The Game Plan,6.0,428
The Bridges of Madison County,7.3,385
The Animal,4.6,304
Gandhi,7.4,716
The Hundred-Foot Journey,7.3,508
The Net,5.6,354
I Am Sam,7.2,530
Son of God,5.9,83
Underworld,6.6,2512
Derailed,6.1,319
The Informant!,6.0,301
Shadowlands,6.8,61
Deuce Bigalow: European Gigolo,4.7,225
Delivery Man,6.2,551
Our Kind of Traitor,6.0,160
Saving Silverman,5.4,154
Diary of a Wimpy Kid: Dog Days,6.0,223
Summer of Sam,6.3,112
Jay and Silent Bob Strike Back,6.4,480
The Glass House,5.4,201
"Hail, Caesar!",5.7,1309
Josie and the Pussycats,5.3,72
Homefront,6.4,875
The Little Vampire,6.1,77
I Heart Huckabees,6.2,239
RoboCop 3,4.2,305
Megiddo: The Omega Code 2,3.6,8
Darling Lili,4.9,8
Dudley Do-Right,3.8,48
The Transporter Refueled,5.2,559
The Libertine,5.9,128
Black Book,7.2,277
Joyeux Noël,7.2,212
Hit & Run,5.5,224
Mad Money,5.9,140
Before I Go to Sleep,6.2,659
Sorcerer,7.4,98
Stone,5.2,192
Moliere,6.7,45
Out of the Furnace,6.5,720
Michael Clayton,6.5,501
My Fellow Americans,6.3,46
Arlington Road,7.0,239
Underdogs,6.0,122
To Rome with Love,5.6,546
Firefox,5.5,139
"South Park: Bigger, Longer & Uncut",7.1,893
Death at a Funeral,6.9,497
Teenage Mutant Ninja Turtles III,5.1,184
Hardball,6.3,123
Silver Linings Playbook,6.9,4742
Freedom Writers,7.5,356
For Colored Girls,7.0,22
The Transporter,6.6,1692
Never Back Down,6.4,497
The Rage: Carrie 2,5.1,76
Away We Go,6.7,189
Swing Vote,5.8,65
Moonlight Mile,6.5,52
Tinker Tailor Soldier Spy,6.6,840
Molly,5.5,14
The Beaver,6.3,276
The Best Little Whorehouse in Texas,5.9,41
eXistenZ,6.7,475
Raiders of the Lost Ark,7.7,3854
Home Alone 2: Lost in New York,6.3,2395
Close Encounters of the Third Kind,7.2,1098
Pulse,5.0,150
Beverly Hills Cop II,6.1,613
Bringing Down the House,5.4,183
The Silence of the Lambs,8.1,4443
Wayne's World,6.5,728
Jackass 3D,6.4,428
Jaws 2,5.9,406
Beverly Hills Chihuahua,4.9,209
The Conjuring,7.4,3092
Are We There Yet?,5.2,221
Tammy,5.0,500
School of Rock,6.7,1414
Mortal Kombat,5.4,442
White Chicks,6.3,679
The Descendants,6.7,934
Holes,6.7,383
The Last Song,6.9,923
12 Years a Slave,7.9,3674
Drumline,6.2,116
Why Did I Get Married Too?,6.1,29
Edward Scissorhands,7.5,3601
Me Before You,7.6,2562
Madea's Witness Protection,5.9,52
The French Connection,7.4,422
Bad Moms,6.3,1252
Date Movie,3.6,222
Return to Never Land,6.1,290
Selma,7.4,817
The Jungle Book 2,5.6,269
Boogeyman,4.6,191
Premonition,5.8,381
The Tigger Movie,6.3,143
Orphan,6.7,1261
Max,6.8,276
Epic Movie,3.2,326
Spotlight,7.8,2686
Lakeview Terrace,5.9,292
The Grudge 2,5.2,283
How Stella Got Her Groove Back,6.0,24
Bill & Ted's Bogus Journey,5.9,308
Man of the Year,5.8,129
The Black Hole,6.1,131
The American,5.8,481
Selena,7.0,114
Vampires Suck,4.2,315
Babel,6.9,1055
This Is Where I Leave You,6.5,505
Doubt,7.0,435
Team America: World Police,6.6,660
Texas Chainsaw 3D,5.3,465
Copycat,6.4,194
Scary Movie 5,4.6,793
Paint Your Wagon,6.2,63
Milk,7.1,612
Risen,5.7,295
Ghost Ship,5.3,531
A Very Harold & Kumar Christmas,6.0,328
Wild Things,6.3,444
The Stepfather,5.4,167
The Debt,6.3,257
High Fidelity,7.0,628
One Missed Call,4.7,171
Eye for an Eye,5.8,63
The Bank Job,6.6,697
Eternal Sunshine of the Spotless Mind,7.9,3652
You Again,6.0,368
Street Kings,6.3,363
The World's End,6.7,1778
Nancy Drew,5.8,143
Daybreakers,6.0,634
She's Out of My League,5.9,525
Monte Carlo,6.0,593
Stay Alive,5.3,155
Quigley Down Under,6.5,119
Alpha and Omega,5.3,124
The Covenant,5.2,288
Stick It,6.3,148
Shorts,5.1,44
To Die For,6.7,175
Nerve,7.1,2181
Appaloosa,6.3,299
Vampires,5.8,255
Psycho,8.2,2320
My Best Friend's Girl,5.4,220
Endless Love,6.7,542
Georgia Rule,5.6,130
Under the Rainbow,4.9,7
Ladyhawke,6.8,260
Simon Birch,6.5,52
Reign Over Me,7.1,334
Into the Wild,7.8,3045
School for Scoundrels,5.6,111
Silent Hill: Revelation 3D,5.0,432
From Dusk Till Dawn,6.9,1603
Pooh's Heffalump Movie,6.4,88
Home for the Holidays,6.3,39
Kung Fu Hustle,7.2,831
The Country Bears,4.3,20
The Kite Runner,7.3,394
21 Grams,7.2,918
Paparazzi,5.8,52
A Guy Thing,5.3,83
Loser,5.0,120
Capitalism: A Love Story,7.0,167
The Greatest Story Ever Told,6.5,41
Secret in Their Eyes,6.2,336
Disaster Movie,3.0,240
Armored,5.5,208
The Man Who Knew Too Little,6.5,125
What's Your Number?,6.2,671
Lockout,5.8,715
Envy,4.8,139
Crank: High Voltage,5.9,861
Bullets Over Broadway,7.0,130
One Night with the King,6.1,12
The Quiet American,6.4,81
The Weather Man,6.0,289
Undisputed,6.1,139
Ghost Town,6.4,286
12 Rounds,5.7,220
Let Me In,6.7,641
3 Ninjas Kick Back,4.5,48
Be Kind Rewind,6.2,424
Mrs Henderson Presents,6.4,62
Triple 9,5.6,797
Deconstructing Harry,7.3,187
Three to Tango,5.4,62
Burnt,6.3,950
We're No Angels,5.6,105
Everyone Says I Love You,6.5,147
Death Sentence,6.5,297
Everybody's Fine,6.5,284
Superbabies: Baby Geniuses 2,1.9,35
The Man,5.4,133
Code Name: The Cleaner,4.7,78
Connie and Carla,6.4,24
Sweet Charity,6.5,15
Inherent Vice,6.5,833
Doogal,3.2,18
Battle of the Year,5.9,88
An American Carol,4.1,20
Machete Kills,5.3,631
Willard,5.8,82
Strange Wilderness,4.7,69
Topsy-Turvy,6.7,41
Little Boy,7.0,185
A Dangerous Method,6.2,571
A Scanner Darkly,6.8,532
Chasing Mavericks,7.0,216
Alone in the Dark,3.1,173
Bandslam,5.4,126
Birth,5.9,179
A Most Violent Year,6.5,546
Passchendaele,6.3,26
Flash of Genius,6.3,59
I'm Not There.,6.6,195
The Cold Light of Day,4.8,271
The Brothers Bloom,6.8,203
"Synecdoche, New York",7.4,278
Princess Mononoke,8.2,1983
Bon voyage,5.7,20
Can't Stop the Music,4.9,9
The Proposition,7.1,218
My All American,6.8,36
Marci X,3.3,12
Equilibrium,6.9,1552
The Children of Huang Shi,6.5,52
The Yards,6.0,97
The Oogieloves in the Big Balloon Adventure,2.2,8
By the Sea,5.4,156
Steamboy,6.4,102
The Game of Their Lives,5.8,14
All Good Things,5.9,286
Rapa Nui,6.2,33
CJ7,6.1,107
The Visitors II: The Corridors of Time,5.8,221
Dylan Dog: Dead of Night,4.5,139
People I Know,5.5,48
The Tempest,6.0,31
Regression,5.3,585
Three Kingdoms: Resurrection of the Dragon,6.6,35
Butterfly on a Wheel,6.3,130
Zambezia,5.3,68
Ramanujan,5.0,3
Dwegons,0.5,1
Hands of Stone,6.1,109
Survivor,5.4,404
The Frozen Ground,6.1,465
The Painted Veil,7.1,312
The Baader Meinhof Complex,7.1,157
Dances with Wolves,7.6,1046
Bad Teacher,5.4,1584
Sea of Love,6.7,141
A Cinderella Story,6.1,713
Scream,7.0,1476
Thir13en Ghosts,5.4,440
The Shining,8.1,3757
Back to the Future,8.0,6079
House on Haunted Hill,5.5,209
I Can Do Bad All By Myself,6.0,40
Fight Valley,3.9,8
The Switch,5.9,583
Just Married,5.3,404
The Devil's Double,6.5,208
Thomas and the Magic Railroad,4.6,8
The Crazies,6.2,633
Spirited Away,8.3,3840
Firestorm,5.9,43
The Bounty,6.5,108
The Book Thief,7.4,1486
Sex Drive,6.0,342
Leap Year,6.4,465
The Fall of the Roman Empire,6.0,33
Take Me Home Tonight,6.2,208
Won't Back Down,5.8,40
The Nutcracker,5.6,5
Kansas City,6.1,12
Indignation,6.8,69
The Amityville Horror,6.0,588
Adaptation.,7.3,638
Land of the Dead,6.0,381
Out of Inferno,5.8,11
Fear and Loathing in Las Vegas,7.2,1301
The Invention of Lying,6.0,518
Neighbors,6.2,2713
The Mask,6.6,2472
Big,6.9,993
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,6.5,1579
Legally Blonde,6.1,882
Star Trek III: The Search for Spock,6.4,434
The Exorcism of Emily Rose,6.3,659
Deuce Bigalow: Male Gigolo,5.5,308
Left Behind,3.7,392
The Family Stone,6.2,249
Barbershop 2:  Back in Business,5.6,74
Bad Santa,6.5,656
Austin Powers: International Man of Mystery,6.5,1013
My Big Fat Greek Wedding 2,5.5,322
Diary of a Wimpy Kid: Rodrick Rules,6.3,238
Predator,7.3,2093
Amadeus,7.8,1076
Prom Night,4.8,167
Mean Girls,6.9,2320
Under the Tuscan Sun,6.4,172
Gosford Park,6.8,246
Peggy Sue Got Married,5.9,136
Birdman,7.4,4535
Blue Jasmine,7.0,1098
United 93,6.9,367
Honey,6.0,303
Spy Hard,4.9,147
The Fog,6.4,311
Soul Surfer,6.9,342
Catch-22,6.7,72
Observe and Report,5.6,225
Conan the Destroyer,5.8,383
Raging Bull,7.7,938
Love Happens,5.6,180
Young Sherlock Holmes,6.7,167
Fame,5.5,135
127 Hours,7.0,2606
Small Time Crooks,6.4,155
Center Stage,6.8,90
Love the Coopers,5.4,167
Catch That Kid,4.9,76
Life as a House,7.2,120
Steve Jobs,6.8,1573
"I Love You, Beth Cooper",5.1,197
Youth in Revolt,5.9,319
The Legend of the Lone Ranger,3.7,14
The Tailor of Panama,6.2,92
Blow Out,7.3,236
Getaway,4.9,246
The Ice Storm,6.9,176
And So It Goes,5.7,164
Troop Beverly Hills,5.6,56
Being Julia,6.4,23
Nine 1/2 Weeks,5.8,177
Dragonslayer,6.5,67
The Last Station,6.7,55
Ed Wood,7.3,630
Labor Day,6.7,299
Mongol: The Rise of Genghis Khan,6.5,158
RockNRolla,6.9,836
Megaforce,3.5,15
Hamlet,7.3,117
Mao's Last Dancer,6.8,28
Midnight Special,6.2,694
Anything Else,6.2,149
The Railway Man,6.7,273
The White Ribbon,7.2,255
Restoration,5.3,11
The Wraith,5.9,108
Salton Sea,7.0,104
Metallica: Through the Never,6.7,83
The Informers,4.4,60
Carlos,6.7,50
I Come with the Rain,5.6,20
One Man's Hero,9.3,2
Day of the Dead,6.9,270
I Am Wrath,4.5,179
Renaissance,6.7,77
Red Sonja,5.0,206
Red Lights,6.0,376
Superbad,7.0,2100
Madea Goes to Jail,6.4,52
Wolves,5.7,82
Step Up 2: The Streets,6.5,640
Hoodwinked!,5.9,479
Hotel Rwanda,7.5,793
Hitman,5.9,966
Black Nativity,5.8,16
The Prince,4.6,218
City of Ghosts,5.4,18
The Others,7.4,1660
Aliens,7.7,3220
My Fair Lady,7.4,352
I Know What You Did Last Summer,5.6,687
Let's Be Cops,6.4,1219
Sideways,6.9,478
Beerfest,5.8,172
Halloween,7.4,1035
Good Boy!,4.7,30
The Best Man Holiday,6.7,110
Smokin' Aces,6.4,534
Saw: The Final Chapter,5.8,730
40 Days and 40 Nights,5.2,297
A Night at the Roxbury,5.9,198
Beastly,6.0,849
The Hills Have Eyes,6.1,705
Dickie Roberts: Former Child Star,5.1,64
"McFarland, USA",7.4,213
Lottery Ticket,5.6,54
ATL,6.0,32
Pitch Perfect,7.3,2247
Summer Catch,4.8,63
A Simple Plan,6.9,187
They,4.6,74
Larry the Cable Guy: Health Inspector,3.3,17
The Adventures of Elmo in Grouchland,6.3,14
Brooklyn's Finest,6.2,293
55 Days at Peking,6.3,36
Evil Dead,6.4,1723
My Life in Ruins,5.6,101
American Dreamz,4.9,95
Superman IV: The Quest for Peace,4.1,318
How She Move,3.0,6
Running Scared,7.0,331
Bobby Jones: Stroke of Genius,5.5,19
Shanghai Surprise,2.9,15
The Illusionist,7.1,1615
Roar,5.6,19
Veronica Guerin,6.8,59
Escobar: Paradise Lost,6.1,271
Southland Tales,5.2,153
Dragon Hunters,6.5,129
Damnation Alley,5.0,27
The Apparition,4.5,140
My Girl,7.0,428
Fur: An Imaginary Portrait of Diane Arbus,5.8,73
Wall Street,7.0,546
Sense and Sensibility,7.2,352
Becoming Jane,6.9,317
Sydney White,6.0,236
House of Sand and Fog,7.0,199
Dead Poets Society,8.1,2705
Dumb and Dumber,6.5,1859
When Harry Met Sally...,7.3,950
The Verdict,7.4,131
Road Trip,5.9,542
Varsity Blues,6.0,122
The Artist,7.3,1049
The Unborn,4.8,365
Moonrise Kingdom,7.6,1662
The Texas Chainsaw Massacre: The Beginning,5.9,402
The Young Messiah,6.4,30
The Master of Disguise,3.7,78
Pan's Labyrinth,7.6,3041
See Spot Run,4.8,44
Baby Boy,7.4,55
The Roommate,5.3,224
Joe Dirt,5.5,242
Double Impact,5.3,215
Hot Fuzz,7.4,2199
The Women,4.6,96
Vicky Cristina Barcelona,6.7,1020
Arn: The Knight Templar,6.4,76
Boys and Girls,5.4,103
White Oleander,7.2,108
Jennifer's Body,5.3,837
Drowning Mona,5.4,43
Radio Days,7.0,127
Remember Me,6.9,948
How to Deal,5.7,42
My Stepmother is an Alien,5.3,131
Philadelphia,7.6,988
The Thirteenth Floor,6.8,378
The Cookout,4.6,10
Meteor,5.1,36
Duets,5.5,34
Hollywood Ending,6.4,113
Detroit Rock City,6.7,100
Highlander,6.8,624
Things We Lost in the Fire,6.7,90
Steel,4.3,48
The Immigrant,6.2,250
The White Countess,6.9,21
Trance,6.5,956
Soul Plane,4.7,108
Welcome to the Sticks,6.8,615
Good,6.3,29
Enter the Void,7.2,387
Vamps,4.8,91
Hachi: A Dog's Tale,7.7,1717
Zulu,6.7,172
The Homesman,6.4,258
Juwanna Mann,4.2,20
Ararat,5.7,16
Madison,5.3,3
Slow Burn,5.5,16
Wasabi,6.2,283
Slither,6.3,317
Beverly Hills Cop,6.8,961
Home Alone,7.1,2414
Three Men and a Baby,5.8,253
Tootsie,6.9,421
Top Gun,6.7,1698
"Crouching Tiger, Hidden Dragon",7.2,927
American Beauty,7.9,3313
The King's Speech,7.6,2752
Twins,5.7,559
The Yellow Handkerchief,6.4,52
The Color Purple,7.7,338
Tidal Wave,6.5,48
The Imitation Game,8.0,5723
Private Benjamin,6.0,102
Coal Miner's Daughter,7.2,67
Diary of a Wimpy Kid,5.9,355
Mama,6.0,1401
National Lampoon's Vacation,7.1,410
Bad Grandpa,6.0,680
The Queen,6.8,338
Beetlejuice,7.1,1444
Why Did I Get Married?,6.1,33
Little Women,7.0,215
The Woman in Black,6.1,1206
When a Stranger Calls,5.4,268
Big Fat Liar,5.6,197
The Deer Hunter,7.8,921
Wag the Dog,6.7,270
The Lizzie McGuire Movie,5.7,280
Snitch,5.8,1138
Krampus,5.9,584
The Faculty,6.2,492
What's Love Got to Do with It,6.9,72
Cop Land,6.6,382
Not Another Teen Movie,5.5,431
End of Watch,7.2,1170
The Skulls,5.8,156
The Theory of Everything,7.8,3311
Malibu's Most Wanted,4.7,77
Where the Heart Is,6.9,155
Lawrence of Arabia,7.8,851
Halloween II,5.1,267
Wild,7.0,951
The Last House on the Left,6.2,440
The Wedding Date,6.2,230
Halloween: Resurrection,4.5,228
The Princess Bride,7.6,1486
The Great Debaters,6.9,151
Drive,7.4,3725
Confessions of a Teenage Drama Queen,5.1,221
The Object of My Affection,5.6,72
28 Weeks Later,6.5,1197
When the Game Stands Tall,6.3,130
Because of Winn-Dixie,6.1,61
Love & Basketball,7.4,88
Grosse Pointe Blank,6.9,275
All About Steve,4.7,295
Book of Shadows: Blair Witch 2,4.3,212
The Craft,6.3,380
Match Point,7.3,1105
Ramona and Beezus,6.1,245
The Remains of the Day,7.5,202
Boogie Nights,7.5,796
Nowhere to Run,5.5,119
Flicka,6.1,52
The Hills Have Eyes 2,5.2,351
Urban Legends: Final Cut,4.4,100
Tuck Everlasting,6.4,128
The Marine,5.0,163
Keanu,6.0,421
Country Strong,5.9,80
Disturbing Behavior,5.5,104
The Place Beyond the Pines,6.8,1653
The November Man,6.0,639
Eye of the Beholder,5.3,42
The Hurt Locker,7.2,1840
Firestarter,5.9,173
Killing Them Softly,5.8,742
A Most Wanted Man,6.5,541
Freddy Got Fingered,4.6,115
VeggieTales: The Pirates Who Don't Do Anything,5.9,25
U2 3D,6.7,10
Highlander: Endgame,4.4,104
Idlewild,5.1,17
One Day,7.0,978
Whip It,6.7,357
Knockaround Guys,5.9,97
Confidence,6.4,126
The Muse,5.3,31
De-Lovely,6.3,32
New York Stories,6.2,64
Barney's Great Adventure,2.9,8
The Man with the Iron Fists,5.2,358
Home Fries,4.8,32
Here On Earth,5.4,48
Brazil,7.5,861
Raise Your Voice,6.0,211
The Big Lebowski,7.8,2926
Black Snake Moan,6.6,243
Dark Blue,6.5,85
A Mighty Heart,6.7,95
Whatever It Takes,5.0,37
Boat Trip,4.7,146
The Importance of Being Earnest,6.7,127
The Love Letter,4.7,3
Hoot,5.5,44
In Bruges,7.4,1388
Peeples,5.6,26
The Rocker,5.6,156
Post Grad,5.0,100
Promised Land,6.0,243
Whatever Works,6.8,350
The In Crowd,4.7,15
The Three Burials of Melquiades Estrada,7.0,177
Jakob the Liar,6.0,90
Kiss Kiss Bang Bang,7.2,886
Idle Hands,6.1,182
Mulholland Drive,7.6,1477
Blood and Chocolate,5.4,87
You Will Meet a Tall Dark Stranger,5.8,251
Never Let Me Go,6.8,737
The Company,7.0,12
Transsiberian,6.5,195
The Clan of the Cave Bear,4.8,27
Crazy in Alabama,6.5,12
Funny Games,6.3,545
Listening,5.5,31
Felicia's Journey,6.6,23
Metropolis,8.0,657
District B13,6.5,565
Things to Do in Denver When You're Dead,6.7,85
The Assassin,6.6,157
Buffalo Soldiers,6.5,93
The Return,7.4,100
Ong Bak 2,6.0,152
Centurion,5.9,386
Silent Trigger,5.0,22
The Midnight Meat Train,6.0,290
Winnie Mandela,5.2,5
The Son of No One,4.8,92
All The Queen's Men,6.1,7
The Good Night,5.7,41
Bathory: Countess of Blood,5.6,31
Khumba,5.8,72
Automata,5.6,670
Dungeons & Dragons: Wrath of the Dragon God,4.8,36
Chiamatemi Francesco - Il Papa della gente,7.3,12
Shinjuku Incident,6.7,65
Pandaemonium,4.5,2
Groundhog Day,7.4,2301
Magic Mike XXL,6.3,706
Romeo + Juliet,6.7,1374
Sarah's Key,7.2,196
Freedom,5.8,9
Unforgiven,7.7,1113
Manderlay,6.9,78
Slumdog Millionaire,7.6,2827
Fatal Attraction,6.6,291
Pretty Woman,7.0,1746
Crocodile Dundee II,5.5,303
Broken Horses,5.0,10
Born on the Fourth of July,6.7,395
Cool Runnings,6.8,491
My Bloody Valentine,5.3,299
Stomp the Yard,6.1,88
The Spy Who Loved Me,6.6,507
Urban Legend,5.6,290
Good Deeds,6.2,45
White Fang,6.5,135
Superstar,5.1,83
The Iron Lady,6.2,527
Jonah: A VeggieTales Movie,6.4,22
Poetic Justice,6.9,47
All About the Benjamins,5.8,48
Vampire in Brooklyn,4.5,111
Exorcist II: The Heretic,4.5,133
An American Haunting,5.3,142
My Boss's Daughter,4.4,180
A Perfect Getaway,6.2,351
Our Family Wedding,5.7,39
Dead Man on Campus,5.6,49
Tea with Mussolini,5.8,32
Thinner,5.5,124
"New York, New York",6.1,67
Crooklyn,6.7,31
I Think I Love My Wife,5.0,55
Jason X,4.5,291
Bobby,6.4,119
Head Over Heels,5.3,73
Fun Size,5.5,134
The Diving Bell and the Butterfly,7.4,283
Little Children,6.9,240
Gossip,5.5,68
A Walk on the Moon,6.2,21
Catch a Fire,6.4,25
Soul Survivors,4.4,49
Jefferson in Paris,5.2,10
Easy Virtue,6.3,108
Caravans,5.8,1
Mr. Turner,6.3,204
Wild Grass,5.8,22
Amen.,7.1,75
Reign of Assassins,6.7,57
The Lucky Ones,6.3,55
Margaret,6.1,86
Stan Helsing,4.0,97
Flipped,7.4,418
Brokeback Mountain,7.5,1480
Clueless,6.9,803
Far from Heaven,6.9,144
Hot Tub Time Machine 2,5.0,354
Quills,6.8,128
Seven Psychopaths,6.7,1206
The Caveman's Valentine,6.0,27
Downfall,7.7,1037
The Sea Inside,7.2,219
Under the Skin,6.0,1102
"Good Morning, Vietnam",7.1,642
The Last Godfather,4.7,7
Justin Bieber: Never Say Never,4.8,154
Black Swan,7.3,4430
The Godfather: Part II,8.3,3338
Save the Last Dance,6.3,352
A Nightmare on Elm Street 4: The Dream Master,5.8,281
Miracles from Heaven,6.7,186
"Dude, Where’s My Car?",5.2,509
Young Guns,6.6,258
St. Vincent,7.1,763
About Last Night,6.0,210
10 Things I Hate About You,7.3,1701
The New Guy,5.7,151
National Lampoon's Loaded Weapon 1,5.7,157
The Shallows,6.2,1567
The Butterfly Effect,7.3,2060
Snow Day,4.8,51
This Christmas,7.1,29
Baby Geniuses,3.3,75
The Big Hit,6.1,109
Harriet the Spy,5.7,46
Child's Play 2,5.8,308
No Good Deed,5.6,181
The Mist,6.7,1399
Ex Machina,7.6,4737
Being John Malkovich,7.3,1101
Two Can Play That Game,6.6,17
Earth to Echo,5.7,290
Crazy/Beautiful,6.6,96
Letters from Iwo Jima,7.2,541
The Astronaut Farmer,6.2,123
Woo,5.5,10
Room,8.1,2757
Dirty Work,6.5,66
Serial Mom,6.4,135
Dick,5.7,67
Light It Up,6.6,7
54,5.5,135
Bubble Boy,5.1,163
Birthday Girl,6.1,103
21 & Over,5.7,737
"Paris, je t'aime",6.8,207
Resurrecting the Champ,5.9,60
Admission,5.4,304
The Widow of Saint-Pierre,6.7,11
Chloe,5.9,498
Faithful,4.8,4
Find Me Guilty,6.5,138
The Perks of Being a Wallflower,7.7,2968
Excessive Force,4.5,10
Infamous,6.4,60
The Claim,5.6,17
The Vatican Tapes,4.6,243
Attack the Block,6.3,733
In the Land of Blood and Honey,5.8,45
The Call,6.6,1257
Operation Chromite,5.8,29
The Crocodile Hunter: Collision Course,5.3,34
I Love You Phillip Morris,6.4,503
Quest for Fire,7.1,109
Antwone Fisher,6.7,137
The Emperor's Club,6.9,96
True Romance,7.5,749
Womb,5.9,92
Glengarry Glen Ross,7.5,323
The Killer Inside Me,6.0,173
Cat People,6.0,94
Sorority Row,5.4,177
The Prisoner of Zenda,8.4,11
Lars and the Real Girl,7.1,509
The Boy in the Striped Pyjamas,7.7,1451
Dancer in the Dark,7.6,377
Oscar and Lucinda,6.2,25
The Funeral,7.3,31
Solitary Man,5.8,84
Machete,6.3,1150
Casino Jack,6.0,94
The Land Before Time,7.0,640
Tae Guk Gi: The Brotherhood of War,7.4,133
The Perfect Game,6.3,30
The Exorcist,7.5,2005
Jaws,7.5,2542
American Pie,6.4,2296
Ernest & Celestine,7.6,142
The Golden Child,5.6,304
Think Like a Man,6.9,281
Barbershop,6.2,137
Star Trek II: The Wrath of Khan,7.3,675
Ace Ventura: Pet Detective,6.4,1648
WarGames,7.0,504
Witness,7.0,375
Act of Valor,6.3,417
Step Up,6.7,1060
Beavis and Butt-Head Do America,6.5,168
Jackie Brown,7.3,1514
Harold & Kumar Escape from Guantanamo Bay,6.2,497
